word,freq
rear,507
recs,1
redo,26
reds,24
reed,10
reef,55
reek,2
reel,75
refs,21
rein,49
rely,522
rems,0
rend,0
rent,623
reps,102
rest,2379
revs,4
rhea,0
rhos,0
rial,3
ribs,80
rice,422
rich,955
rick,0
ride,760
rids,3
rife,63
riff,20
rift,66
rigs,23
rile,4
rill,0
rime,0
rims,6
rind,3
ring,1036
rink,81
riot,125
ripe,66
rips,23
rise,2090
risk,3368
rite,26
rive,0
road,4249
roam,32
roan,0
roar,51
robe,37
robs,4
rock,767
rode,92
rods,36
roes,0
roil,6
role,4849
roll,551
romp,39
rood,1
roof,649
rook,2
room,3382
root,306
rope,197
ropy,0
rose,897
rosy,21
rote,9
rots,3
roue,0
rout,50
rove,1
rows,75
rube,1
rubs,12
ruby,11
rude,112
rued,1
rues,3
ruff,0
rugs,16
ruin,121
rule,1192
rump,8
rums,2
rune,2
rung,21
runs,2171
runt,1
ruse,14
rush,356
rusk,0
rust,25
ruts,2
ryes,0
sack,126
sacs,2
safe,2661
saga,137
sage,31
sago,0
sags,3
said,89540
sail,128
sake,201
saki,0
sale,2556
salt,325
same,9325
sand,286
sane,20
sang,156
sank,126
sans,24
saps,4
sari,5
sash,16
sass,5
sate,2
save,1972
sawn,0
saws,11
says,11096
scab,4
scad,1
scam,298
scan,177
scar,57
scat,0
scow,0
scud,0
scum,12
seal,196
seam,18
sear,2
seas,97
seat,1404
secs,4
sect,14
seed,407
seek,1102
seem,1547
seen,6872
seep,14
seer,7
sees,830
self,280
sell,1742
semi,62
send,1140
sent,2597
sera,2
sere,0
serf,1
sets,898
sewn,11
sews,1
sexy,98
shad,4
shag,6
shah,1
sham,39
shat,1
shay,0
shed,325
shes,4
shew,0
shim,1
shin,12
ship,833
shit,120
shiv,1
shod,1
shoe,134
shoo,4
shop,1612
shot,3045
show,8577
shun,18
shut,935
sick,541
sics,0
side,5381
sift,29
sigh,43
sign,2098
silk,69
sill,5
silo,15
silt,23
sims,3
sine,4
sing,256
sink,166
sins,59
sips,16
sire,4
sirs,1
site,3435
sits,522
size,1310
skas,0
skew,16
skid,46
skim,9
skin,1148
skip,124
skis,25
skit,34
slab,25
slag,1
slam,171
slap,91
slat,1
slaw,10
slay,11
sled,17
slew,115
slid,86
slim,157
slip,280
slit,25
slob,1
sloe,1
slog,25
slop,5
slot,265
slow,868
slue,0
slug,15
slum,18
slur,33
slut,4
smit,0
smog,24
smug,19
smut,1
snag,74
snap,329
snip,6
snit,0
snob,4
snot,6
snow,1036
snub,27
snug,24
soak,81
soap,213
soar,91
sobs,9
sock,18
soda,107
sods,2
sofa,115
soft,661
soil,529
sold,4952
sole,303
soli,0
solo,493
sols,0
some,22829
song,1618
sons,383
soon,3030
soot,12
sops,1
sore,106
sort,1196
sots,1
soul,405
soup,147
sour,82
sous,7
sown,24
sows,5
soya,16
soys,0
spam,33
span,249
spar,11
spas,17
spat,67
spay,10
spec,31
sped,67
spew,3
spin,250
spit,49
spot,2207
spry,3
spud,5
spun,75
spur,76
stab,144
stag,27
star,3072
stat,66
stay,2935
stem,179
step,2481
stet,0
stew,27
stir,125
stop,3409
stow,2
stub,5
stud,23
stun,36
stye,1
subs,44
such,11543
suck,72
suds,2
sued,213
sues,9
suet,4
suit,769
sulk,4
sumo,6
sump,3
sums,121
sung,60
sunk,58
suns,5
sups,0
sure,4295
surf,106
swab,10
swag,18
swam,31
swan,24
swap,175
swat,4
sway,100
swig,7
swim,256
swob,0
swop,0
swum,8
sync,56
tabs,50
tabu,0
tack,19
taco,25
tact,9
tads,0
tags,114
tail,157
take,13291
talc,9
tale,296
tali,0
talk,2320
tall,436
tame,49
tamp,11
tams,0
tang,5
tank,378
tans,6
tape,257
taps,72
tare,1
tarn,1
taro,2
tarp,10
tars,0
tart,30
task,770
tats,0
taus,0
taut,6
taxi,254
teak,7
teal,23
team,12085
tear,221
teas,39
teat,1
tech,1134
teed,20
teem,3
teen,305
tees,23
tell,2596
temp,16
tend,619
tens,318
tent,225
term,2052
tern,2
test,1741
text,727
than,24551
that,183042
thaw,22
thee,18
them,24197
then,13741
thew,2
they,48895
thin,324
this,67519
thou,12
thru,19
thud,15
thug,37
thus,526
tick,86
tics,5
tide,166
tidy,77
tied,868
tier,183
ties,729
tiff,6
tike,0
tile,34
till,360
tilt,62
time,28799
tine,2
ting,2
tins,25
tint,16
tiny,535
tipi,4
tips,512
tire,107
tiro,0
tits,8
toad,2
toed,5
toes,99
tofu,29
toga,3
togs,1
toil,6
toke,1
told,11572
tole,1
toll,423
tomb,41
tome,6
toms,2
tone,403
tong,4
tons,288
tony,3
took,7557
tool,840
toot,2
tops,142
tore,95
torn,198
tors,0
tort,11
toss,176
tost,0
tote,40
tots,10
tour,1457
tout,24
town,3702
tows,1
toys,251
tram,55
trap,180
tray,73
tree,962
trek,93
trey,4
trig,1
trim,129
trio,314
trip,1714
trod,1
trot,18
trow,0
troy,4
tsar,8
tuba,5
tube,85
tubs,28
tuck,30
tuft,2
tugs,5
tuna,32
tune,320
tuns,0
turd,3
turf,145
turn,2764
tush,1
tusk,1
tuts,0
tutu,1
twas,1
twig,1
twin,188
twit,0
twos,12
tyke,0
type,1343
typo,10
tyre,44
tyro,0
tzar,1
ugly,175
ulna,0
umps,0
undo,52
unit,1208
unto,26
upon,1537
urea,9
urge,467
uric,2
urns,2
used,7522
user,962
uses,1009
vain,54
vale,2
vamp,2
vane,0
vans,73
vape,95
vary,272
vase,13
vast,685
vats,2
veal,5
veep,4
veer,21
vegs,0
veil,36
vein,87
vela,0
veld,1
vend,1
vent,42
verb,12
very,13480
vest,58
veto,105
vets,45
vial,6
vibe,253
vice,1156
vied,9
vies,5
view,1851
vile,88
vims,0
vine,20
vino,4
viol,0
visa,240
vise,0
vita,2
viva,0
void,120
vole,1
volt,1
vote,3215
vows,103
wack,4
wade,13
wadi,0
wads,5
waft,1
wage,650
wags,2
waif,0
wail,5
wain,0
wait,1720
wake,639
wale,0
walk,1823
wall,920
wand,26
wane,10
want,11118
ward,308
ware,2
warm,1029
warn,220
warp,13
wars,285
wart,4
wary,126
wash,246
wasp,4
wast,0
watt,5
wave,643
wavy,19
waxy,6
ways,2363
weak,459
weal,0
wean,7
wear,800
webs,13
weds,1
weed,102
week,10806
ween,0
weep,8
weer,0
wees,0
weft,0
weir,5
weld,3
well,12974
welt,3
wend,1
wens,0
went,6596
wept,17
were,44390
west,816
wets,0
wham,0
what,23762
whee,0
when,30186
whet,5
whew,0
whey,11
whim,18
whip,134
whir,2
whit,0
whiz,11
whoa,3
whom,1109
whys,7
wick,4
wide,1575
wife,2880
wigs,22
wiki,3
